,num,name
77,219,الكادي 
244,220,الباركنسونيا 
245,221,الباسبامل 
228,222,إبرة الراعي 
206,223,العطرة إبرة الراعي الليموين 
205,224,العطرة 
92,225,اللهب األصفر 
283,226,الحلفا 
256,227,البنتاس املرصي 
248,228,البتونيا 
65,229,نخيل الكناري 
63,230,نخيل البلح 
111,232,النخيل القزمي 
207,233,العقربان الهجنا الغاب 
198,234,الصنوبر الحلبي 
99,235,اللوز الهندي 
247,236,البتبورم 
225,237,القراص 
122,238,الياسمني األزرق 
253,239,البلوماريا 
254,240,البلوماريا 
142,241,حشيشة بكرل 
6,242,زهرة الصباح 
7,243,زهرة الصباح 
208,244,العقيق 
216,245,الغاف األبيض 
218,246,الغاف التشييل 
129,247,الينبوت 
217,248,الغاف البحري 
241,249,اإليرانثيمم الكاذب 
279,250,الجوافة 
271,251,الجثجاث 
302,252,الرمان 
8,253,زهرة اللهب 
139,254,متر حنة الياسمني الهندي 
1,255,ذيل الخروف 
202,256,العرفج 
281,257,الحرمل 
291,258,الخروع 
118,259,الورد الصيني 
119,260,الورد املتسلق 
145,261,حصا البان إكليل الجبل 
114,262,النخيل املليك 
249,263,البتونيا الربي 
285,264,الحميض 
46,265,مكنسة النجار 
56,266,نبات املرجان 
64,267,نخيل البلميط 
237,268,األراك السواك 
10,269,رسخس الفراشة 
41,270,لسان العفريت 
42,271,لسان العفريت 
193,272,الشيح الالفندر القطني 
192,273,الشيح الالفندر األخرض القطني 
121,274,الوهج املتسلق 
222,275,الفلفل رفيع األوراق 
223,276,الفلفل عريض األوراق 
67,277,وتكاري 
180,278,السنتوريا الفضية 
178,279,السنا املجنح 
177,280,السنا الفيض 
175,281,السنا األرجنتيني 
176,282,السنا الغريب 
17,283,سيسبان 
298,284,الدلب 
143,285,حشيشة الجاموس 
115,286,النيص 
35,287,عصفور الجنة 
36,288,عصفور الجنة 
12,289,سنجونيوم 
18,290,شجرة البوق 
140,291,متر هندي 
233,292,األثل 
235,293,األثل الفرنيس 
234,294,األثل الطرفا 
263,295,التيكوما 
264,296,التيكوماريا 
261,297,الرتمنيال 
98,298,اللوز البجيل اللوز الهندي 
212,299,العيهالن القصباء 
81,300,الكنا املائية 
257,301,البورتيا 
297,302,الدفلة الصفراء 
226,303,أبو املكارم 
73,304,القلب األرجواين 
55,305,نبات املحار 
227,306,أبو خنجر 
220,307,الفربينا 
75,308,القنب 
76,309,القنب 
210,310,العنب 
113,311,النخيل املروحي 
66,312,نخيل واشنطونيا 
3,313,رجل األرنب 
11,314,سم الفار كرز الشتاء الجينسينج الهندي 
131,315,اليوكا 
132,316,اليوكا 
150,317,الزبرينا 
151,318,الزلة الشربم 
154,319,الزنيا 
157,320,السدر 
159,321,السدر النبق 
158,322,السدر 
110,323,النجيل الكوري 
59,324,نبات الهرم حامض بطباط رطريط 
